timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535505947760,17932,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505947760,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505947760,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505948760,67721,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505948760,28875,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505948760,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505948760,37888000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505949761,67810,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505949761,40699,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505949761,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505949761,4096000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505950762,67708,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505950763,37672,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505950763,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505950763,297984000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505951764,67702,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505951765,15298,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505951765,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505951765,276480000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505952769,67682,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505952769,19700,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505952769,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505952769,324608000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505953773,67711,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505953773,6359,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505953773,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505953773,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505954775,67748,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505954775,4868,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505954775,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505954775,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505955776,67779,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505955776,5860,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505955776,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505955776,4096000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505956778,67684,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505956779,17353,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505956779,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505956779,307200000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505957784,67622,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505957784,14782,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505957784,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505957784,324608000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505958790,67678,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505958790,13607,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505958790,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505958790,363520000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505959794,67701,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505959794,14570,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505959794,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505959794,22528000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505960797,67730,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505960797,22042,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505960797,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505960797,8192000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505961803,67721,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505961803,10986,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505961803,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505961803,7168000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505962803,67734,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505962803,15461,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505962803,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505962803,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505963804,67766,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505963804,30000,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505963804,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505963804,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505964809,67776,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505964809,35455,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505964809,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505964809,2048000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505965814,67667,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505965814,29338,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505965814,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505965814,309248000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505966819,67718,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505966820,23970,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505966820,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505966820,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505967822,67709,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505967822,20149,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505967822,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505967822,190464000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505968826,67767,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505968826,19551,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505968826,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505968826,14336000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505969829,67844,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505969829,8270,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505969829,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505969829,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505970835,67842,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505970835,7855,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505970835,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505970835,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505971840,67883,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505971840,6583,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505971840,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505971840,2048000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505972844,67885,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505972844,4500,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505972844,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505972844,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505973845,67882,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505973846,3225,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505973846,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505973846,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505974848,67949,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505974849,11889,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505974849,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505974849,3072000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505975854,67956,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505975854,15241,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505975854,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505975854,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505976858,67976,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505976858,21820,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505976858,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505976858,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505977863,68185,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505977863,25093,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505977863,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505977863,946176000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505978863,68299,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505978864,21419,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505978864,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505978864,622592000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505979869,68383,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505979869,17852,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505979869,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505979869,47104000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505980874,68506,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505980875,14481,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505980875,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505980875,317440000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505981876,68966,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505981876,12000,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505981876,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505981876,193536000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505982878,69096,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505982879,15566,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505982879,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505982879,421888000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505983880,69155,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505983880,8084,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505983880,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505983880,250880000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505984882,69310,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505984882,13016,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505984882,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505984882,799744000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505985882,69316,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505985882,6716,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505985882,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505985882,3072000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505986884,69283,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505986884,13466,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505986884,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505986884,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505987885,69276,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505987886,13913,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505987886,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505987886,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505988886,69397,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505988886,15894,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505988886,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505988886,4096000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505989889,69548,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505989890,33125,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505989890,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505989890,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505990890,68109,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505990890,35696,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505990890,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505990890,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505991891,68132,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505991891,41228,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505991891,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505991891,14336000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505992897,68134,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505992897,15461,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505992897,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505992897,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505993901,68218,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505993901,5735,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505993901,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505993901,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505994902,68257,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505994902,6583,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505994902,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505994902,22528000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
